cuid	dstring	day_score	sum_score
6791	2016-07-28	3	20
6791	2016-08-01	15	35
6791	2016-08-08	5	40
6792	2016-07-18	0	0
6792	2016-07-22	5	5
6792	2016-07-23	5	10
6792	2016-07-25	5	15
6792	2016-08-01	0	15
6792	2016-08-08	10	25
6793	2016-07-18	9	14
6793	2016-07-25	25	39
6793	2016-07-29	0	39
6793	2016-08-01	10	49
6793	2016-08-08	0	49
6794	2016-07-14	5	19
6794	2016-07-16	5	24
6794	2016-07-18	3	27
6794	2016-07-21	5	32
6794	2016-07-25	5	37
6794	2016-07-31	5	42
6794	2016-08-01	20	62
6794	2016-08-02	0	62
6794	2016-08-09	5	67
6797	2016-07-18	5	10
6797	2016-07-25	5	15
6798	2016-07-14	0	0
6798	2016-07-22	5	5
6798	2016-08-11	0	5
6799	2016-07-27	0	5
6800	2016-07-14	0	15
6800	2016-07-17	5	20
6800	2016-07-18	5	25
6800	2016-07-25	5	30
6800	2016-08-01	0	30
6804	2016-07-18	5	105
6810	2016-08-06	0	0
6815	2016-07-18	35	75
6815	2016-07-25	18	93
6815	2016-08-01	15	108
6815	2016-08-08	20	128
6822	2016-07-18	4	27
6822	2016-07-24	10	37
6822	2016-07-25	16	53
6822	2016-07-27	5	58
6822	2016-08-01	9	67
6827	2016-08-01	0	0
6829	2016-07-18	0	0
6832	2016-07-18	7	16
6832	2016-07-25	0	16
6832	2016-08-01	0	16
6832	2016-08-02	0	16
6832	2016-08-08	5	21
6834	2016-07-18	0	5
6834	2016-07-25	5	10
6834	2016-08-01	5	15
6834	2016-08-04	5	20
6834	2016-08-08	0	20
6835	2016-07-16	0	5
6835	2016-07-17	0	5
6835	2016-07-18	0	5
6835	2016-07-19	3	8
6835	2016-07-20	5	13
6835	2016-07-25	10	23
6835	2016-07-27	0	23
6835	2016-07-28	0	23
6835	2016-07-30	1	24
6835	2016-08-01	6	30
6835	2016-08-02	0	30
6835	2016-08-03	4	34
6835	2016-08-04	5	39
6835	2016-08-08	8	47
6835	2016-08-12	0	47
6835	2016-08-13	10	57
6836	2016-07-21	28	52
6836	2016-07-22	4	56
6836	2016-07-23	0	56
6836	2016-07-24	10	66
6836	2016-07-25	65	131
6836	2016-07-26	10	141
6836	2016-07-27	5	146
6836	2016-08-01	42	188
6837	2016-07-19	10	10
6837	2016-07-20	0	10
6837	2016-07-21	0	10
6837	2016-07-22	0	10
6837	2016-07-23	5	15
6837	2016-07-24	0	15
6837	2016-07-25	9	24
6837	2016-07-26	0	24
6837	2016-07-27	0	24
6837	2016-07-29	5	29
6837	2016-08-01	6	35
6837	2016-08-08	12	47
6842	2016-07-14	5	5
6842	2016-07-18	3	8
6842	2016-07-21	4	12
6842	2016-07-22	1	13
6842	2016-07-25	1	14
6842	2016-07-26	0	14
6842	2016-08-01	2	16
6842	2016-08-08	1	17
6842	2016-08-12	5	22
6843	2016-07-17	5	5
6843	2016-07-18	0	5
6843	2016-07-20	0	5
6843	2016-07-21	5	10
6843	2016-07-22	5	15
6843	2016-07-23	5	20
6843	2016-07-25	10	30
6843	2016-07-26	5	35
6843	2016-07-27	5	40
6843	2016-07-29	4	44
6843	2016-08-01	10	54
6843	2016-08-13	5	59
6844	2016-08-12	5	5
6849	2016-07-15	0	0
6849	2016-07-18	0	0
6849	2016-07-25	4	4
6856	2016-07-14	1	3
6856	2016-07-16	1	4
6856	2016-07-18	15	19
6856	2016-07-25	5	24
6856	2016-08-01	1	25
6856	2016-08-02	2	27
6856	2016-08-05	0	27
6856	2016-08-06	2	29
6856	2016-08-08	3	32
6861	2016-07-14	5	14
6861	2016-07-15	5	19
6861	2016-07-17	5	24
6861	2016-07-18	50	74
6861	2016-07-23	6	80
6861	2016-07-25	49	129
6861	2016-07-27	1	130
6861	2016-08-01	55	185
6861	2016-08-03	3	188
6861	2016-08-04	0	188
6861	2016-08-08	41	229
6861	2016-08-13	6	235
6862	2016-07-17	0	0
6862	2016-07-18	0	0
6862	2016-07-24	0	0
6862	2016-07-25	0	0
6862	2016-07-31	0	0
6862	2016-08-01	0	0
6862	2016-08-02	4	4
6862	2016-08-08	0	4
6864	2016-07-18	18	18
6864	2016-07-25	20	38
6864	2016-07-28	0	38
6864	2016-07-29	0	38
6864	2016-07-30	5	43
6864	2016-08-01	18	61
6864	2016-08-08	17	78
6869	2016-07-14	5	5
6869	2016-07-16	5	10
6869	2016-07-18	5	15
6869	2016-07-25	5	20
6870	2016-07-21	5	5
6872	2016-07-20	5	5
6872	2016-07-23	5	10
6872	2016-07-24	5	15
6872	2016-07-27	0	15
6872	2016-07-28	5	20
6872	2016-07-29	5	25
6872	2016-07-30	0	25
6872	2016-08-04	5	30
6872	2016-08-13	0	30
6873	2016-07-16	0	0
6873	2016-07-18	0	0
6873	2016-07-25	5	5
6873	2016-08-01	5	10
6873	2016-08-08	10	20
6873	2016-08-12	5	25
6875	2016-07-20	5	5
6875	2016-07-21	14	19
6875	2016-07-22	5	24
6875	2016-07-25	10	34
6875	2016-08-04	4	38
6876	2016-07-28	0	0
6876	2016-08-01	0	0
6876	2016-08-08	0	0
6877	2016-07-17	5	5
6883	2016-07-16	0	4
6883	2016-07-18	10	14
6883	2016-07-21	0	14
6883	2016-07-23	5	19
6883	2016-07-25	15	34
6883	2016-08-01	10	44
6883	2016-08-08	5	49
6885	2016-07-18	5	5
6890	2016-07-18	0	0
6892	2016-07-23	5	5
6893	2016-07-16	5	5
6898	2016-07-25	0	0
6900	2016-07-20	10	15
6900	2016-07-21	0	15
6900	2016-07-22	5	20
6900	2016-07-24	15	35
6900	2016-07-25	25	60
6900	2016-08-01	15	75
6900	2016-08-08	15	90
6905	2016-07-15	5	5
6905	2016-07-18	5	10
6905	2016-07-25	5	15
6905	2016-08-01	10	25
6905	2016-08-03	5	30
6905	2016-08-04	0	30
6905	2016-08-08	5	35
6905	2016-08-11	5	40
6905	2016-08-12	5	45
6906	2016-07-17	22	22
6907	2016-08-05	0	0
6907	2016-08-06	5	5
6907	2016-08-09	0	5
6907	2016-08-10	0	5
6908	2016-07-14	0	3
6908	2016-07-15	5	8
6908	2016-07-17	0	8
6908	2016-07-18	4	12
6908	2016-07-24	5	17
6908	2016-07-25	0	17
6908	2016-08-01	5	22
6908	2016-08-04	4	26
6908	2016-08-08	4	30
6908	2016-08-10	5	35
6908	2016-08-11	5	40
6908	2016-08-12	0	40
6908	2016-08-14	5	45
6910	2016-08-07	0	0
6911	2016-07-25	5	10
6911	2016-07-27	5	15
6911	2016-07-30	5	20
6911	2016-07-31	2	22
6911	2016-08-01	5	27
6911	2016-08-05	5	32
6912	2016-07-22	0	0
6912	2016-07-30	0	0
6913	2016-07-14	3	3
6913	2016-07-16	0	3
6913	2016-07-17	2	5
6913	2016-07-18	15	20
6913	2016-07-20	5	25
6913	2016-07-24	0	25
6913	2016-07-25	5	30
6913	2016-07-31	0	30
6913	2016-08-01	0	30
6913	2016-08-05	7	37
6913	2016-08-06	4	41
6913	2016-08-08	7	48
6913	2016-08-12	0	48
6913	2016-08-14	5	53
6914	2016-07-15	0	0
6914	2016-07-18	0	0
6914	2016-07-25	0	0
6914	2016-08-01	0	0
6914	2016-08-08	0	0
6915	2016-08-05	5	5
6915	2016-08-06	0	5
6916	2016-07-14	5	5
6916	2016-07-18	5	10
6916	2016-07-20	4	14
6916	2016-07-25	5	19
6916	2016-07-29	5	24
6918	2016-07-14	5	5
6918	2016-07-18	4	9
6918	2016-07-25	5	14
6918	2016-07-28	10	24
6918	2016-07-29	5	29
6918	2016-07-30	0	29
6918	2016-08-01	15	44
6918	2016-08-02	15	59
6918	2016-08-04	5	64
6918	2016-08-06	0	64
6918	2016-08-08	0	64
6918	2016-08-09	0	64
6918	2016-08-10	0	64
6918	2016-08-11	0	64
6918	2016-08-12	0	64
6918	2016-08-13	0	64
6919	2016-07-14	5	5
6919	2016-07-15	0	5
6919	2016-07-16	5	10
6919	2016-07-17	4	14
6919	2016-07-19	0	14
6919	2016-07-21	4	18
6919	2016-07-22	5	23
6919	2016-07-23	0	23
6919	2016-07-24	10	33
6919	2016-07-25	5	38
6919	2016-07-26	0	38
6919	2016-07-29	5	43
6919	2016-07-30	5	48
6919	2016-07-31	5	53
6919	2016-08-01	40	93
6919	2016-08-02	0	93
6919	2016-08-03	5	98
6919	2016-08-04	5	103
6919	2016-08-06	5	108
6919	2016-08-07	5	113
6919	2016-08-08	34	147
6919	2016-08-12	0	147
6920	2016-07-18	5	5
6920	2016-07-19	10	15
6920	2016-07-20	0	15
6920	2016-07-21	5	20
6920	2016-07-22	0	20
6920	2016-07-23	0	20
6920	2016-07-24	0	20
6920	2016-07-25	30	50
6920	2016-07-26	5	55
6920	2016-07-27	1	56
6920	2016-07-30	0	56
6920	2016-08-01	55	111
6920	2016-08-05	5	116
6920	2016-08-08	15	131
6927	2016-07-25	5	5
6928	2016-07-14	0	0
6928	2016-07-16	5	5
6928	2016-07-18	5	10
6928	2016-07-25	5	15
6928	2016-08-01	5	20
6929	2016-07-14	0	0
6930	2016-07-14	5	5
6930	2016-07-15	0	5
6930	2016-07-16	5	10
6930	2016-07-18	10	20
6930	2016-08-05	5	25
6931	2016-07-31	3	3
6931	2016-08-01	3	6
6932	2016-07-16	0	0
6932	2016-07-18	0	0
6932	2016-07-19	0	0
6932	2016-07-25	0	0
6932	2016-07-29	5	5
6932	2016-08-01	5	10
6932	2016-08-08	10	20
6933	2016-07-27	4	4
6933	2016-07-29	0	4
6935	2016-07-14	5	5
6935	2016-07-18	5	10
6935	2016-07-20	4	14
6936	2016-07-18	0	0
6936	2016-07-23	0	0
6936	2016-07-25	5	5
6936	2016-07-30	5	10
6936	2016-08-01	8	18
6936	2016-08-02	5	23
6936	2016-08-03	0	23
6936	2016-08-06	5	28
6936	2016-08-08	13	41
6936	2016-08-11	5	46
6936	2016-08-12	22	68
6938	2016-07-18	5	5
6938	2016-07-19	0	5
6938	2016-07-21	5	10
6938	2016-07-23	5	15
6938	2016-07-24	0	15
6938	2016-07-25	27	42
6938	2016-07-26	6	48
6938	2016-07-28	5	53
6938	2016-08-01	18	71
6938	2016-08-02	1	72
6938	2016-08-04	5	77
6938	2016-08-08	16	93
6938	2016-08-09	6	99
6938	2016-08-10	5	104
6940	2016-07-24	5	5
6940	2016-07-28	5	10
6940	2016-08-03	5	15
6940	2016-08-06	0	15
6942	2016-07-29	0	0
6942	2016-08-01	0	0
6944	2016-07-14	10	10
6945	2016-07-30	5	5
6946	2016-07-19	0	0
6946	2016-08-10	5	5
6947	2016-07-16	5	5
6947	2016-07-18	5	10
6948	2016-07-15	0	0
6949	2016-07-16	5	5
6949	2016-07-17	0	5
6949	2016-07-18	5	10
6949	2016-07-19	10	20
6949	2016-07-21	5	25
6949	2016-07-23	10	35
6949	2016-07-24	0	35
6949	2016-07-25	82	117
6949	2016-07-26	5	122
6949	2016-07-29	5	127
6949	2016-08-01	24	151
6949	2016-08-08	30	181
6950	2016-07-15	5	5
6951	2016-07-16	5	5
6951	2016-07-22	0	5
6951	2016-07-29	0	5
6951	2016-07-30	0	5
6951	2016-07-31	5	10
6951	2016-08-01	12	22
6951	2016-08-08	0	22
6952	2016-07-15	0	0
6952	2016-07-16	5	5
6953	2016-07-17	5	5
6956	2016-08-06	0	0
6958	2016-07-15	5	5
6958	2016-07-16	5	10
6958	2016-07-17	5	15
6958	2016-07-18	5	20
6958	2016-07-22	5	25
6958	2016-07-25	15	40
6958	2016-08-01	10	50
6958	2016-08-08	15	65
6963	2016-07-18	10	10
6963	2016-07-25	5	15
6963	2016-08-01	10	25
6963	2016-08-08	5	30
6964	2016-07-16	15	15
6964	2016-07-18	20	35
6964	2016-07-19	5	40
6964	2016-07-20	5	45
6964	2016-07-21	5	50
6964	2016-07-23	0	50
6964	2016-07-24	4	54
6964	2016-07-25	25	79
6964	2016-07-30	0	79
6964	2016-08-01	10	89
6964	2016-08-07	0	89
6964	2016-08-08	5	94
6966	2016-08-05	5	5
6974	2016-07-20	0	0
6974	2016-07-21	0	0
6974	2016-07-23	0	0
6974	2016-08-01	0	0
6979	2016-07-16	5	5
6979	2016-07-18	5	10
6979	2016-07-19	5	15
6979	2016-07-25	10	25
6979	2016-07-30	0	25
6979	2016-08-01	0	25
6979	2016-08-08	0	25
6979	2016-08-09	5	30
6979	2016-08-11	0	30
6980	2016-07-16	5	5
6980	2016-07-29	5	10
6980	2016-08-11	4	14
6981	2016-07-19	0	0
6981	2016-07-25	0	0
6981	2016-08-01	0	0
6981	2016-08-08	0	0
6983	2016-07-16	10	10
6983	2016-07-17	0	10
6983	2016-07-18	4	14
6983	2016-07-25	5	19
6983	2016-08-01	0	19
6983	2016-08-08	5	24
6983	2016-08-12	5	29
6984	2016-07-19	3	3
6984	2016-07-27	10	13
6984	2016-08-05	3	16
6985	2016-07-16	0	0
6985	2016-07-20	5	5
6985	2016-07-23	100	105
6985	2016-07-25	79	184
6985	2016-07-26	24	208
6985	2016-07-28	135	343
6985	2016-07-29	45	388
6985	2016-07-30	53	441
6985	2016-07-31	15	456
6985	2016-08-01	444	900
6985	2016-08-02	17	917
6985	2016-08-03	1	918
6985	2016-08-05	0	918
6985	2016-08-06	10	928
6985	2016-08-07	0	928
6985	2016-08-08	153	1081
6985	2016-08-10	44	1125
6985	2016-08-12	5	1130
6985	2016-08-14	26	1156
6986	2016-07-16	0	0
6986	2016-07-30	0	0
6986	2016-07-31	0	0
6986	2016-08-01	0	0
6986	2016-08-02	0	0
6986	2016-08-06	0	0
6986	2016-08-08	0	0
6989	2016-07-20	5	5
6989	2016-07-25	5	10
6989	2016-07-29	6	16
6989	2016-07-30	5	21
6989	2016-07-31	0	21
6989	2016-08-01	10	31
6989	2016-08-02	0	31
6989	2016-08-06	3	34
6989	2016-08-08	0	34
6989	2016-08-14	0	34
6990	2016-07-26	0	0
6992	2016-07-30	2	2
6992	2016-08-12	5	7
6994	2016-07-18	0	0
6994	2016-07-25	0	0
6994	2016-08-01	0	0
6995	2016-07-20	5	5
6995	2016-07-29	0	5
6995	2016-08-05	5	10
6995	2016-08-06	0	10
6995	2016-08-07	5	15
6995	2016-08-09	5	20
6995	2016-08-10	5	25
6995	2016-08-11	3	28
6995	2016-08-12	3	31
6995	2016-08-13	5	36
6995	2016-08-14	5	41
7000	2016-07-24	5	5
7000	2016-07-29	5	10
7000	2016-08-01	0	10
7000	2016-08-13	0	10
7000	2016-08-14	4	14
7003	2016-07-17	5	5
7003	2016-07-31	5	10
7003	2016-08-01	5	15
7003	2016-08-08	0	15
7005	2016-07-17	0	0
7005	2016-07-18	0	0
7005	2016-07-25	0	0
7005	2016-07-29	5	5
7005	2016-08-01	0	5
7005	2016-08-02	5	10
7005	2016-08-06	5	15
7005	2016-08-08	5	20
7010	2016-07-28	0	0
7010	2016-07-29	5	5
7011	2016-07-18	0	0
7011	2016-07-19	5	5
7011	2016-07-25	2	7
7013	2016-07-20	5	5
7016	2016-07-26	5	5
7016	2016-07-29	8	13
7017	2016-07-31	5	5
7020	2016-07-19	10	10
7022	2016-07-19	10	10
7022	2016-07-23	5	15
7022	2016-07-24	5	20
7022	2016-07-28	5	25
7022	2016-08-04	0	25
7026	2016-07-20	0	0
7026	2016-07-23	0	0
7026	2016-07-25	0	0
7026	2016-07-29	0	0
7026	2016-08-01	0	0
7026	2016-08-07	5	5
7026	2016-08-08	5	10
7027	2016-07-20	2	2
7027	2016-07-21	11	13
7027	2016-07-25	6	19
7027	2016-07-26	6	25
7027	2016-07-27	0	25
7027	2016-08-01	16	41
7027	2016-08-08	5	46
7028	2016-07-20	0	0
7028	2016-07-25	0	0
7028	2016-08-01	0	0
7028	2016-08-08	0	0
7030	2016-07-22	0	0
7030	2016-08-12	0	0
7030	2016-08-13	0	0
7030	2016-08-14	0	0
7031	2016-08-01	0	0
7033	2016-07-24	0	0
7033	2016-07-25	0	0
7033	2016-08-01	0	0
7035	2016-07-21	33	33
7035	2016-07-25	12	45
7035	2016-08-01	1	46
7036	2016-07-20	5	5
7036	2016-07-23	5	10
7036	2016-07-24	5	15
7036	2016-07-25	10	25
7036	2016-07-31	0	25
7036	2016-08-01	35	60
7036	2016-08-04	5	65
7036	2016-08-05	0	65
7036	2016-08-08	44	109
7036	2016-08-09	5	114
7036	2016-08-11	0	114
7036	2016-08-12	0	114
7036	2016-08-14	5	119
7037	2016-07-23	5	5
7037	2016-08-01	5	10
7037	2016-08-06	5	15
7037	2016-08-08	10	25
7037	2016-08-13	0	25
7038	2016-07-21	9	9
7038	2016-07-25	45	54
7038	2016-07-31	0	54
7038	2016-08-01	15	69
7038	2016-08-08	20	89
7039	2016-07-23	5	5
7040	2016-08-01	30	30
7040	2016-08-08	25	55
7042	2016-07-21	5	5
7042	2016-07-25	5	10
7042	2016-08-01	5	15
7042	2016-08-04	10	25
7042	2016-08-05	5	30
7042	2016-08-06	15	45
7042	2016-08-07	5	50
7042	2016-08-08	18	68
7042	2016-08-09	5	73
7042	2016-08-10	10	83
7042	2016-08-12	5	88
7042	2016-08-14	4	92
7044	2016-07-21	10	10
7044	2016-07-23	5	15
7044	2016-07-25	15	30
7044	2016-07-26	5	35
7044	2016-07-27	5	40
7044	2016-08-01	10	50
7044	2016-08-03	0	50
7044	2016-08-07	5	55
7044	2016-08-08	10	65
7044	2016-08-10	5	70
7045	2016-07-22	15	15
7045	2016-07-29	15	30
7045	2016-08-01	35	65
7045	2016-08-12	25	90
7046	2016-07-25	0	0
7046	2016-08-01	5	5
7046	2016-08-08	0	5
7047	2016-07-21	5	5
7047	2016-07-23	0	5
7047	2016-07-25	0	5
7051	2016-07-21	5	5
7051	2016-07-22	7	12
7051	2016-07-23	4	16
7051	2016-07-25	21	37
7051	2016-07-27	21	58
7051	2016-07-28	13	71
7051	2016-07-30	5	76
7051	2016-07-31	0	76
7051	2016-08-01	37	113
7051	2016-08-02	5	118
7051	2016-08-08	38	156
7051	2016-08-13	11	167
7053	2016-07-28	10	10
7053	2016-07-29	0	10
7053	2016-08-01	10	20
7053	2016-08-05	5	25
7053	2016-08-08	14	39
7054	2016-07-23	0	0
7057	2016-07-21	0	0
7057	2016-07-25	0	0
7057	2016-08-02	0	0
7064	2016-07-21	4	4
7064	2016-07-22	5	9
7064	2016-07-24	4	13
7064	2016-07-25	0	13
7066	2016-08-04	5	5
7066	2016-08-08	5	10
7066	2016-08-14	5	15
7067	2016-07-23	0	0
7068	2016-07-31	0	0
7068	2016-08-04	5	5
7070	2016-07-24	5	5
7073	2016-07-24	6	6
7073	2016-07-25	6	12
7073	2016-07-27	5	17
7073	2016-07-28	5	22
7073	2016-08-01	10	32
7074	2016-07-26	0	0
7074	2016-07-27	5	5
7074	2016-07-28	0	5
7074	2016-08-01	25	30
7076	2016-07-25	5	5
7076	2016-08-01	5	10
7076	2016-08-08	5	15
7078	2016-07-22	5	5
7078	2016-07-28	5	10
7078	2016-08-08	5	15
7079	2016-08-04	5	5
7079	2016-08-06	5	10
7079	2016-08-08	0	10
7079	2016-08-09	2	12
7079	2016-08-11	5	17
7082	2016-07-31	5	5
7082	2016-08-01	5	10
7082	2016-08-08	5	15
7083	2016-08-11	0	0
7084	2016-07-25	5	5
7084	2016-07-31	10	15
7084	2016-08-06	5	20
7084	2016-08-07	5	25
7084	2016-08-08	10	35
7094	2016-08-12	0	0
7095	2016-07-26	0	0
7095	2016-08-01	0	0
7095	2016-08-08	0	0
7097	2016-07-23	5	5
7098	2016-07-28	5	5
7099	2016-07-24	46	46
7099	2016-07-25	45	91
7099	2016-07-28	5	96
7099	2016-07-31	25	121
7099	2016-08-01	70	191
7099	2016-08-08	75	266
7099	2016-08-13	5	271
7099	2016-08-14	80	351
7101	2016-07-27	0	0
7102	2016-07-23	5	5
7103	2016-07-29	5	5
7103	2016-08-03	5	10
7104	2016-07-30	0	0
7104	2016-08-03	0	0
7104	2016-08-08	10	10
7108	2016-07-23	5	5
7108	2016-07-25	10	15
7108	2016-07-26	5	20
7108	2016-07-27	14	34
7108	2016-08-01	10	44
7108	2016-08-02	1	45
7108	2016-08-08	1	46
7112	2016-07-26	0	0
7112	2016-07-30	5	5
7112	2016-08-01	0	5
7114	2016-07-27	5	5
7114	2016-07-31	5	10
7121	2016-08-02	5	5
7121	2016-08-08	20	25
7122	2016-07-28	5	5
7124	2016-08-14	5	5
7128	2016-07-24	5	5
7128	2016-07-25	0	5
7128	2016-07-26	5	10
7128	2016-07-28	5	15
7128	2016-07-30	5	20
7128	2016-08-01	15	35
7128	2016-08-02	0	35
7128	2016-08-03	5	40
7128	2016-08-04	0	40
7128	2016-08-05	0	40
7128	2016-08-08	16	56
7130	2016-07-24	5	5
7130	2016-07-25	5	10
7130	2016-08-01	5	15
7131	2016-07-24	15	15
7131	2016-07-25	5	20
7131	2016-07-28	10	30
7131	2016-07-29	10	40
7131	2016-07-30	5	45
7131	2016-07-31	15	60
7131	2016-08-01	60	120
7131	2016-08-03	0	120
7131	2016-08-04	5	125
7131	2016-08-07	5	130
7131	2016-08-08	30	160
7131	2016-08-14	5	165
7132	2016-07-26	5	5
7132	2016-07-30	5	10
7132	2016-08-12	5	15
7134	2016-07-24	5	5
7134	2016-07-27	5	10
7134	2016-08-01	5	15
7134	2016-08-04	0	15
7135	2016-07-24	20	20
7135	2016-07-25	40	60
7135	2016-07-26	4	64
7135	2016-07-27	9	73
7135	2016-07-28	11	84
7135	2016-07-29	5	89
7135	2016-07-30	5	94
7135	2016-08-01	84	178
7135	2016-08-08	29	207
7136	2016-08-10	0	0
7136	2016-08-14	5	5
7137	2016-08-04	5	5
7138	2016-07-24	5	5
7140	2016-07-25	0	0
7140	2016-07-28	5	5
7140	2016-07-29	10	15
7140	2016-07-30	0	15
7140	2016-08-01	69	84
7140	2016-08-08	25	109
7141	2016-07-30	0	0
7142	2016-07-28	10	10
7142	2016-07-29	5	15
7142	2016-08-01	15	30
7142	2016-08-08	10	40
7144	2016-08-03	5	5
7145	2016-07-26	5	5
7145	2016-07-27	5	10
7145	2016-07-31	5	15
7145	2016-08-01	0	15
7147	2016-07-28	0	0
7147	2016-07-29	3	3
7147	2016-08-09	5	8
7152	2016-07-28	0	0
7152	2016-08-01	0	0
7155	2016-07-26	10	10
7155	2016-08-01	10	20
7157	2016-07-26	5	5
7157	2016-07-28	5	10
7157	2016-08-01	5	15
7160	2016-07-26	5	5
7162	2016-07-26	0	0
7162	2016-07-31	5	5
7162	2016-08-01	1	6
7164	2016-07-26	10	10
7164	2016-07-27	0	10
7164	2016-07-28	5	15
7164	2016-08-01	0	15
7164	2016-08-11	10	25
7166	2016-07-26	0	0
7166	2016-07-27	0	0
7166	2016-07-28	5	5
7166	2016-08-01	0	5
7166	2016-08-07	4	9
7166	2016-08-13	0	9
7168	2016-07-26	5	5
7169	2016-07-26	5	5
7170	2016-07-26	5	5
7171	2016-08-10	0	0
7175	2016-07-26	5	5
7175	2016-07-28	5	10
7179	2016-07-27	20	20
7179	2016-07-28	0	20
7179	2016-07-29	0	20
7179	2016-07-30	10	30
7179	2016-08-01	25	55
7179	2016-08-02	0	55
7179	2016-08-03	3	58
7179	2016-08-04	0	58
7179	2016-08-05	0	58
7179	2016-08-06	6	64
7179	2016-08-08	38	102
7179	2016-08-09	0	102
7179	2016-08-10	5	107
7179	2016-08-12	5	112
7179	2016-08-14	0	112
7180	2016-07-29	4	4
7180	2016-08-03	3	7
7180	2016-08-04	0	7
7181	2016-07-27	5	5
7183	2016-08-07	4	4
7183	2016-08-08	3	7
7187	2016-07-27	0	0
7190	2016-07-27	5	5
7191	2016-07-27	5	5
7193	2016-07-27	0	0
7194	2016-07-28	0	0
7194	2016-07-29	0	0
7194	2016-08-01	0	0
7194	2016-08-08	0	0
7195	2016-07-28	5	5
7195	2016-07-30	0	5
7195	2016-07-31	5	10
7195	2016-08-03	5	15
7197	2016-07-27	5	5
7198	2016-07-27	10	10
7203	2016-08-01	0	0
7205	2016-08-02	30	30
7205	2016-08-03	1	31
7205	2016-08-04	5	36
7205	2016-08-06	0	36
7205	2016-08-07	5	41
7205	2016-08-08	21	62
7205	2016-08-09	5	67
7205	2016-08-10	5	72
7206	2016-07-28	0	0
7207	2016-07-28	10	10
7207	2016-07-29	5	15
7207	2016-08-01	15	30
7207	2016-08-08	0	30
7209	2016-08-07	0	0
7211	2016-07-28	5	5
7211	2016-08-01	5	10
7212	2016-07-28	5	5
7212	2016-08-01	5	10
7212	2016-08-08	10	20
7213	2016-07-28	5	5
7216	2016-08-04	0	0
7216	2016-08-05	5	5
7216	2016-08-08	15	20
7222	2016-07-28	5	5
7224	2016-07-28	5	5
7225	2016-07-28	15	15
7225	2016-07-29	14	29
7225	2016-08-01	5	34
7226	2016-07-29	5	5
7226	2016-07-30	11	16
7226	2016-07-31	5	21
7226	2016-08-01	16	37
7226	2016-08-03	9	46
7226	2016-08-04	5	51
7226	2016-08-08	10	61
7226	2016-08-14	10	71
7227	2016-07-29	10	10
7227	2016-08-01	10	20
7227	2016-08-07	4	24
7227	2016-08-08	4	28
7227	2016-08-13	5	33
7229	2016-07-28	0	0
7230	2016-07-29	10	10
7230	2016-07-31	5	15
7230	2016-08-01	19	34
7233	2016-07-28	5	5
7233	2016-07-29	39	44
7233	2016-07-30	10	54
7233	2016-08-01	130	184
7233	2016-08-02	5	189
7233	2016-08-03	10	199
7233	2016-08-05	9	208
7233	2016-08-06	10	218
7233	2016-08-08	172	390
7233	2016-08-12	0	390
7235	2016-08-05	2	2
7235	2016-08-13	9	11
7238	2016-08-07	5	5
7239	2016-07-29	5	5
7239	2016-08-02	0	5
7239	2016-08-05	0	5
7239	2016-08-10	3	8
7239	2016-08-13	4	12
7243	2016-08-02	5	5
7244	2016-07-29	8	8
7244	2016-07-31	0	8
7244	2016-08-01	10	18
7244	2016-08-02	3	21
7244	2016-08-03	25	46
7244	2016-08-08	23	69
7245	2016-08-12	5	5
7246	2016-08-01	0	0
7247	2016-08-02	5	5
7247	2016-08-08	5	10
7254	2016-07-31	5	5
7256	2016-08-04	9	9
7256	2016-08-13	5	14
7259	2016-07-30	5	5
7260	2016-07-31	5	5
7260	2016-08-01	0	5
7260	2016-08-13	8	13
7260	2016-08-14	5	18
7261	2016-07-30	0	0
7261	2016-08-05	5	5
7262	2016-07-30	0	0
7262	2016-08-01	0	0
7264	2016-07-30	0	0
7264	2016-08-01	0	0
7264	2016-08-04	0	0
7264	2016-08-06	10	10
7264	2016-08-13	5	15
7266	2016-07-31	5	5
7266	2016-08-03	0	5
7266	2016-08-04	15	20
7266	2016-08-06	5	25
7266	2016-08-08	20	45
7267	2016-07-30	5	5
7267	2016-08-04	5	10
7267	2016-08-08	5	15
7267	2016-08-14	5	20
7270	2016-08-02	5	5
7270	2016-08-08	5	10
7274	2016-07-31	5	5
7274	2016-08-06	5	10
7274	2016-08-10	0	10
7274	2016-08-14	0	10
7276	2016-08-01	5	5
7276	2016-08-02	0	5
7276	2016-08-03	1	6
7276	2016-08-10	10	16
7280	2016-08-01	5	5
7283	2016-08-11	5	5
7285	2016-08-02	5	5
7285	2016-08-08	5	10
7286	2016-08-14	3	3
7292	2016-07-31	5	5
7292	2016-08-02	15	20
7292	2016-08-03	5	25
7292	2016-08-07	10	35
7296	2016-08-02	5	5
7296	2016-08-04	0	5
7298	2016-08-11	5	5
7300	2016-08-04	5	5
7300	2016-08-08	0	5
7302	2016-08-03	0	0
7302	2016-08-05	0	0
7302	2016-08-07	0	0
7302	2016-08-08	0	0
7303	2016-08-03	5	5
7304	2016-08-02	0	0
7304	2016-08-08	0	0
7305	2016-08-02	5	5
7305	2016-08-08	5	10
7306	2016-08-02	10	10
7306	2016-08-03	15	25
7306	2016-08-05	5	30
7306	2016-08-06	8	38
7306	2016-08-08	38	76
7306	2016-08-09	0	76
7308	2016-08-02	0	0
